severity,issue_type,track_id,title,artist,details,suggested_fix
medium,embedding_missing,f3cc9a15711febb8af9191ef7b308b0edc8dcaa39fce335a8fba6a2373dae081,Snowman,Sia,BPM not analyzed.,Generate embedding when library grows
medium,missing_bpm,a990c8a36080f8b49e419067fa2630ee04af9c47fe55efb3e862b2d14852d180,Unstoppable,Sia,BPM not analyzed.,Run Essentia/librosa analysis pipeline
medium,embedding_missing,a990c8a36080f8b49e419067fa2630ee04af9c47fe55efb3e862b2d14852d180,Unstoppable,Sia,BPM not analyzed.,Generate embedding when library grows
medium,missing_bpm,1c93f53071a6d3a40747192d9c92c15b35eb7bd4913e7b160fc0c09c76ef2cf9,Bad Habit (Explicit),Steve Lacy,BPM not analyzed.,Run Essentia/librosa analysis pipeline
medium,embedding_missing,1c93f53071a6d3a40747192d9c92c15b35eb7bd4913e7b160fc0c09c76ef2cf9,Bad Habit (Explicit),Steve Lacy,BPM not analyzed.,Generate embedding when library grows
medium,missing_bpm,38f72fe5864048b07784dea33f0502ee1f1cc66fcff60a340c288fe70cae5ceb,exes (Explicit),Tate McRae,BPM not analyzed.,Run Essentia/librosa analysis pipeline
medium,embedding_missing,38f72fe5864048b07784dea33f0502ee1f1cc66fcff60a340c288fe70cae5ceb,exes (Explicit),Tate McRae,BPM not analyzed.,Generate embedding when library grows
medium,missing_bpm,44f6c44bcffdd10b204130106e70e6456b1ff288bb6fc2739279a5e152887414,It's ok I'm ok (Explicit),Tate McRae,BPM not analyzed.,Run Essentia/librosa analysis pipeline
medium,embedding_missing,44f6c44bcffdd10b204130106e70e6456b1ff288bb6fc2739279a5e152887414,It's ok I'm ok (Explicit),Tate McRae,BPM not analyzed.,Generate embedding when library grows
medium,missing_bpm,bc8a525197d46676ad905e4f3546ddb9333269a6628b0cf5a4aee7d001fc7f8a,Sports car,Tate McRae,BPM not analyzed.,Run Essentia/librosa analysis pipeline
medium,embedding_missing,bc8a525197d46676ad905e4f3546ddb9333269a6628b0cf5a4aee7d001fc7f8a,Sports car,Tate McRae,BPM not analyzed.,Generate embedding when library grows
medium,missing_bpm,39b39136a309402406aaebc7be1e7888925dea3c77a045f8174133db218e7996,Anti-Hero,Taylor Swift,BPM not analyzed.,Run Essentia/librosa analysis pipeline
medium,embedding_missing,39b39136a309402406aaebc7be1e7888925dea3c77a045f8174133db218e7996,Anti-Hero,Taylor Swift,BPM not analyzed.,Generate embedding when library grows
medium,missing_bpm,ffb941b0e5447e79df6ec49a363df74091062a02ea9e87588e9c371c89e825d7,Cruel Summer,Taylor Swift,BPM not analyzed.,Run Essentia/librosa analysis pipeline
medium,embedding_missing,ffb941b0e5447e79df6ec49a363df74091062a02ea9e87588e9c371c89e825d7,Cruel Summer,Taylor Swift,BPM not analyzed.,Generate embedding when library grows
medium,missing_bpm,a242afc15312c3df2da8ba7a95ca6cdeba6da2acdf833cc788e9beccecd8427a,Down Bad,Taylor Swift,BPM not analyzed.,Run Essentia/librosa analysis pipeline
medium,embedding_missing,a242afc15312c3df2da8ba7a95ca6cdeba6da2acdf833cc788e9beccecd8427a,Down Bad,Taylor Swift,BPM not analyzed.,Generate embedding when library grows
medium,missing_bpm,46f544fb80e163b955cf8719b7a4684b267e0b8350f5d80d0086dd78a191af7a,Karma (Explicit),Taylor Swift,BPM not analyzed.,Run Essentia/librosa analysis pipeline
medium,embedding_missing,46f544fb80e163b955cf8719b7a4684b267e0b8350f5d80d0086dd78a191af7a,Karma (Explicit),Taylor Swift,BPM not analyzed.,Generate embedding when library grows
medium,missing_bpm,f92acf22fa1995e8270ae5124cfb975e7e4add863a4c0180c73929dc1445085d,Lavender Haze (Explicit),Taylor Swift,BPM not analyzed.,Run Essentia/librosa analysis pipeline
medium,embedding_missing,f92acf22fa1995e8270ae5124cfb975e7e4add863a4c0180c73929dc1445085d,Lavender Haze (Explicit),Taylor Swift,BPM not analyzed.,Generate embedding when library grows
medium,missing_bpm,187a27d8f3fb9c4e48775979c78440291ffc5f693edafe1cad3f0cd37674c585,The Alchemy,Taylor Swift,BPM not analyzed.,Run Essentia/librosa analysis pipeline
medium,embedding_missing,187a27d8f3fb9c4e48775979c78440291ffc5f693edafe1cad3f0cd37674c585,The Alchemy,Taylor Swift,BPM not analyzed.,Generate embedding when library grows
medium,missing_bpm,69be1254dcfb859716e2316e2e89b7c050064db6ffb3d3bc025873d45b96fab2,Fortnight,Taylor Swift;Post Malone,BPM not analyzed.,Run Essentia/librosa analysis pipeline
medium,embedding_missing,69be1254dcfb859716e2316e2e89b7c050064db6ffb3d3bc025873d45b96fab2,Fortnight,Taylor Swift;Post Malone,BPM not analyzed.,Generate embedding when library grows
medium,missing_bpm,be6a01789337008e93cae31f177535f6d779c0d8836fe6ba56bd2575d52eb29c,Something Just Like This,The Chainsmokers;Coldplay,BPM not analyzed.,Run Essentia/librosa analysis pipeline
medium,embedding_missing,be6a01789337008e93cae31f177535f6d779c0d8836fe6ba56bd2575d52eb29c,Something Just Like This,The Chainsmokers;Coldplay,BPM not analyzed.,Generate embedding when library grows
